id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯文-杜兰特,11-12,负,掘金106-101雷霆,1,40,52.20%,12,23,62.50%,5,8,100.00%,3,3,5,0,5,4,0,1,5,4,32
2,凯文-杜兰特,11-12,胜,国王110-118雷霆,1,32,36.80%,7,19,50.00%,3,6,93.80%,15,16,9,0,9,1,2,1,3,2,32
3,凯文-杜兰特,11-12,负,湖人114-106雷霆,1,51,32.40%,11,34,40.00%,4,10,90.00%,9,10,8,0,8,3,0,1,5,3,35
4,凯文-杜兰特,11-12,胜,国王92-103雷霆,1,38,60.00%,9,15,66.70%,2,3,90.00%,9,10,14,1,13,7,1,1,4,0,29
5,凯文-杜兰特,11-12,胜,太阳97-109雷霆,1,41,50.00%,10,20,50.00%,1,2,100.00%,8,8,11,0,11,5,1,2,5,4,29
6,凯文-杜兰特,11-12,负,快船92-77雷霆,1,39,38.90%,7,18,0.00%,0,7,83.30%,10,12,5,1,4,2,2,0,5,4,24
7,凯文-杜兰特,11-12,胜,森林狼110-115雷霆,1,35,65.20%,15,23,66.70%,4,6,75.00%,9,12,7,1,6,1,0,1,4,5,43
8,凯文-杜兰特,11-12,胜,国王89-115雷霆,1,30,47.40%,9,19,0.00%,0,1,84.60%,11,13,9,2,7,3,1,0,7,1,29
9,凯文-杜兰特,11-12,负,快船100-98雷霆,1,44,33.30%,7,21,37.50%,3,8,100.00%,5,5,9,2,7,3,2,2,2,3,22
10,凯文-杜兰特,11-12,胜,雄鹿89-109雷霆,1,37,35.70%,5,14,25.00%,1,4,100.00%,8,8,4,0,4,8,1,2,3,1,19
11,凯文-杜兰特,11-12,胜,猛龙75-91雷霆,1,31,50.00%,7,14,66.70%,4,6,100.00%,5,5,4,0,4,1,1,2,2,1,23
12,凯文-杜兰特,11-12,负,步行者103-98雷霆,1,44,62.50%,15,24,37.50%,3,8,84.60%,11,13,6,1,5,3,1,2,3,0,44
13,凯文-杜兰特,11-12,负,热火98-93雷霆,1,43,52.40%,11,21,28.60%,2,7,100.00%,6,6,4,0,4,3,0,2,9,1,30
14,凯文-杜兰特,11-12,负,灰熊94-88雷霆,1,43,40.00%,8,20,25.00%,2,8,75.00%,3,4,8,0,8,3,0,0,3,1,21
15,凯文-杜兰特,11-12,胜,公牛78-92雷霆,1,32,68.80%,11,16,100.00%,2,2,100.00%,2,2,10,0,10,4,1,1,1,1,26
16,凯文-杜兰特,11-12,胜,湖人93-102雷霆,1,43,45.50%,10,22,50.00%,1,2,,0,0,11,3,8,5,0,2,3,3,21
17,凯文-杜兰特,11-12,胜,开拓者95-109雷霆,1,32,71.40%,10,14,40.00%,2,5,100.00%,3,3,6,0,6,1,2,0,5,3,25
18,凯文-杜兰特,11-12,胜,热火87-103雷霆,1,42,55.00%,11,20,80.00%,4,5,40.00%,2,5,9,1,8,8,2,1,2,1,28
19,凯文-杜兰特,11-12,胜,森林狼140-149雷霆,1,52,57.70%,15,26,50.00%,3,6,100.00%,7,7,17,2,15,5,3,0,3,4,40
20,凯文-杜兰特,11-12,胜,快船91-114雷霆,1,39,55.60%,10,18,25.00%,1,4,100.00%,11,11,9,0,9,5,2,1,4,3,32
21,凯文-杜兰特,11-12,负,爵士97-90雷霆,1,39,27.30%,6,22,20.00%,1,5,83.30%,5,6,6,0,6,2,1,1,6,2,18
