id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,马努-吉诺比利,02-03,负,小牛93-72马刺,0,11,50.00%,1,2,100.00%,1,1,100.00%,2,2,2,0,2,1,0,0,0,2,5
2,马努-吉诺比利,02-03,胜,爵士83-91马刺,0,33,50.00%,4,8,40.00%,2,5,100.00%,4,4,1,0,1,2,4,0,3,1,14
3,马努-吉诺比利,02-03,负,太阳92-85马刺,0,27,54.50%,6,11,66.70%,4,6,0.00%,0,2,3,0,3,1,2,0,3,2,16
4,马努-吉诺比利,02-03,胜,超音速86-94马刺,0,30,40.00%,4,10,33.30%,1,3,100.00%,6,6,4,3,1,0,1,0,1,4,15
5,马努-吉诺比利,02-03,胜,开拓者79-84马刺,0,27,63.60%,7,11,33.30%,2,6,50.00%,1,2,5,2,3,3,0,0,1,4,17
6,马努-吉诺比利,02-03,胜,活塞83-89马刺,0,16,0.00%,0,3,0.00%,0,1,0.00%,0,2,2,0,2,0,0,0,1,3,0
7,马努-吉诺比利,02-03,胜,猛龙98-124马刺,0,26,60.00%,3,5,66.70%,2,3,100.00%,2,2,3,1,2,2,0,0,3,3,10
8,马努-吉诺比利,02-03,胜,灰熊87-105马刺,0,22,28.60%,2,7,33.30%,1,3,100.00%,2,2,2,1,1,1,1,0,2,0,7
9,马努-吉诺比利,02-03,胜,魔术105-118马刺,0,24,42.90%,3,7,0.00%,0,2,100.00%,5,5,2,1,1,3,0,0,2,3,11
10,马努-吉诺比利,02-03,胜,黄蜂90-92马刺,0,24,50.00%,2,4,,0,0,75.00%,3,4,1,0,1,1,3,0,0,3,7
11,马努-吉诺比利,02-03,胜,爵士81-101马刺,0,26,20.00%,1,5,0.00%,0,2,100.00%,3,3,5,2,3,6,1,0,1,1,5
12,马努-吉诺比利,02-03,胜,火箭85-98马刺,0,25,37.50%,3,8,25.00%,1,4,66.70%,2,3,1,0,1,1,3,0,1,1,9
13,马努-吉诺比利,02-03,胜,雄鹿94-107马刺,0,22,40.00%,2,5,0.00%,0,1,,0,0,6,1,5,3,3,0,2,5,4
14,马努-吉诺比利,02-03,胜,湖人89-98马刺,0,24,55.60%,5,9,,0,0,100.00%,4,4,0,0,0,1,2,1,1,5,14
15,马努-吉诺比利,02-03,负,森林狼101-94马刺,0,36,35.70%,5,14,0.00%,0,7,100.00%,5,5,1,0,1,1,2,0,1,3,15
16,马努-吉诺比利,02-03,胜,小牛110-112马刺,0,24,63.60%,7,11,50.00%,3,6,0.00%,0,1,2,0,2,1,0,1,3,6,17
17,马努-吉诺比利,02-03,负,尼克斯105-97马刺,0,29,50.00%,1,2,,0,0,75.00%,3,4,7,1,6,1,2,2,2,6,5
18,马努-吉诺比利,02-03,胜,快船96-107马刺,0,32,42.90%,3,7,0.00%,0,1,100.00%,3,3,2,2,0,8,1,0,1,1,9
19,马努-吉诺比利,02-03,胜,森林狼99-111马刺,0,28,40.00%,4,10,66.70%,4,6,100.00%,5,5,3,0,3,5,2,0,2,3,17
20,马努-吉诺比利,02-03,胜,雄鹿102-105马刺,0,26,50.00%,2,4,0.00%,0,2,100.00%,1,1,5,1,4,2,1,0,3,1,5
21,马努-吉诺比利,02-03,胜,凯尔特78-94马刺,0,23,25.00%,1,4,33.30%,1,3,50.00%,2,4,1,0,1,4,5,0,1,1,5
22,马努-吉诺比利,02-03,胜,篮网78-92马刺,0,33,54.50%,6,11,50.00%,1,2,100.00%,5,5,6,1,5,7,5,0,1,3,18
23,马努-吉诺比利,02-03,负,太阳104-97马刺,0,32,40.00%,4,10,25.00%,1,4,100.00%,5,5,2,0,2,2,3,0,3,5,14
24,马努-吉诺比利,02-03,胜,火箭88-97马刺,0,28,85.70%,6,7,66.70%,2,3,100.00%,6,6,2,0,2,4,3,0,2,0,20
25,马努-吉诺比利,02-03,胜,国王100-108马刺,0,29,75.00%,3,4,0.00%,0,1,0.00%,0,2,5,2,3,5,2,0,2,2,6
26,马努-吉诺比利,02-03,胜,热火69-84马刺,0,16,75.00%,3,4,100.00%,2,2,50.00%,2,4,4,1,3,1,3,0,3,2,10
27,马努-吉诺比利,02-03,胜,步行者96-105马刺,0,20,60.00%,3,5,,0,0,66.70%,2,3,1,1,0,2,2,0,3,4,8
28,马努-吉诺比利,02-03,负,小牛95-87马刺,0,29,44.40%,4,9,0.00%,0,1,100.00%,3,3,3,0,3,4,3,0,1,4,11
29,马努-吉诺比利,02-03,胜,掘金76-101马刺,0,20,40.00%,2,5,66.70%,2,3,33.30%,2,6,3,2,1,4,1,0,3,2,8
30,马努-吉诺比利,02-03,胜,国王101-104马刺,0,29,75.00%,6,8,66.70%,2,3,50.00%,1,2,6,5,1,4,1,0,3,1,15
31,马努-吉诺比利,02-03,胜,湖人95-103马刺,0,22,33.30%,2,6,,0,0,50.00%,4,8,3,1,2,3,0,1,1,4,8
32,马努-吉诺比利,02-03,胜,开拓者111-116马刺,0,21,25.00%,1,4,25.00%,1,4,100.00%,2,2,2,0,2,1,0,2,1,4,5
33,马努-吉诺比利,02-03,胜,掘金74-83马刺,0,13,25.00%,1,4,0.00%,0,1,,0,0,2,1,1,1,3,0,2,2,2
34,马努-吉诺比利,02-03,胜,勇士99-103马刺,0,18,0.00%,0,8,0.00%,0,3,100.00%,2,2,0,0,0,1,2,1,0,3,2
35,马努-吉诺比利,02-03,胜,热火65-67马刺,0,23,16.70%,1,6,33.30%,1,3,,0,0,2,0,2,1,0,0,0,3,3
36,马努-吉诺比利,02-03,胜,魔术108-109马刺,0,28,50.00%,4,8,40.00%,2,5,100.00%,4,4,3,1,2,2,0,1,1,4,14
37,马努-吉诺比利,02-03,胜,步行者97-106马刺,0,26,50.00%,5,10,0.00%,0,2,,0,0,1,1,0,3,2,1,1,2,10
38,马努-吉诺比利,02-03,负,森林狼106-95马刺,0,23,50.00%,3,6,50.00%,1,2,100.00%,1,1,4,0,4,3,1,1,1,3,8
39,马努-吉诺比利,02-03,胜,活塞76-108马刺,0,26,40.00%,2,5,,0,0,66.70%,2,3,4,1,3,2,2,0,1,1,6
40,马努-吉诺比利,02-03,胜,爵士90-91马刺,0,14,60.00%,3,5,100.00%,2,2,,0,0,0,0,0,2,1,0,0,3,8
41,马努-吉诺比利,02-03,负,灰熊98-93马刺,0,17,20.00%,1,5,0.00%,0,3,60.00%,3,5,0,0,0,0,2,0,3,3,5
42,马努-吉诺比利,02-03,胜,火箭82-87马刺,0,13,50.00%,2,4,50.00%,1,2,,0,0,1,1,0,1,0,0,0,1,5
43,马努-吉诺比利,02-03,胜,老鹰93-106马刺,0,19,50.00%,4,8,33.30%,1,3,100.00%,4,4,1,0,1,2,1,0,0,2,13
44,马努-吉诺比利,02-03,胜,太阳100-108马刺,0,11,0.00%,0,3,0.00%,0,1,,0,0,1,1,0,1,0,0,1,1,0
45,马努-吉诺比利,02-03,胜,凯尔特80-81马刺,0,15,33.30%,1,3,0.00%,0,1,50.00%,1,2,4,2,2,1,1,1,0,3,3
46,马努-吉诺比利,02-03,负,开拓者90-87马刺,0,13,33.30%,1,3,0.00%,0,1,,0,0,4,1,3,5,3,0,2,4,2
47,马努-吉诺比利,02-03,胜,超音速95-106马刺,0,10,50.00%,1,2,,0,0,100.00%,2,2,0,0,0,0,1,0,1,1,4
48,马努-吉诺比利,02-03,胜,快船86-94马刺,0,14,100.00%,2,2,,0,0,,0,0,2,1,1,2,0,1,0,2,4
49,马努-吉诺比利,02-03,负,奇才105-103马刺,0,1,0.00%,0,1,0.00%,0,1,,0,0,0,0,0,0,0,0,0,0,0
50,马努-吉诺比利,02-03,负,尼克斯96-95马刺,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0
51,马努-吉诺比利,02-03,负,火箭89-75马刺,0,10,0.00%,0,1,,0,0,,0,0,1,0,1,0,1,1,2,1,0
52,马努-吉诺比利,02-03,胜,爵士85-107马刺,0,7,0.00%,0,2,,0,0,,0,0,0,0,0,0,1,0,0,0,0
53,马努-吉诺比利,02-03,负,太阳94-87马刺,0,14,66.70%,2,3,100.00%,1,1,0.00%,0,2,1,0,1,0,1,0,2,4,5
54,马努-吉诺比利,02-03,胜,掘金68-99马刺,0,19,33.30%,1,3,0.00%,0,1,,0,0,4,3,1,3,0,1,2,4,2
55,马努-吉诺比利,02-03,负,掘金85-81马刺,0,28,40.00%,4,10,25.00%,1,4,100.00%,1,1,3,1,2,4,1,0,1,3,10
56,马努-吉诺比利,02-03,负,超音速91-90马刺,0,11,33.30%,1,3,100.00%,1,1,50.00%,1,2,0,0,0,0,1,0,2,0,4
57,马努-吉诺比利,02-03,胜,灰熊86-95马刺,0,23,57.10%,4,7,,0,0,14.30%,1,7,3,2,1,3,2,0,3,1,9
58,马努-吉诺比利,02-03,胜,湖人88-95马刺,0,17,66.70%,2,3,0.00%,0,1,100.00%,4,4,2,0,2,1,1,0,3,4,8
59,马努-吉诺比利,02-03,胜,骑士78-104马刺,0,9,,0,0,,0,0,50.00%,2,4,1,0,1,0,0,0,0,1,2
60,马努-吉诺比利,02-03,胜,骑士77-90马刺,0,10,33.30%,1,3,0.00%,0,1,75.00%,3,4,0,0,0,1,2,0,1,0,5
61,马努-吉诺比利,02-03,负,76人99-94马刺,0,15,33.30%,2,6,33.30%,1,3,50.00%,1,2,4,0,4,2,0,0,1,0,6
62,马努-吉诺比利,02-03,负,篮网91-82马刺,0,12,33.30%,1,3,50.00%,1,2,50.00%,1,2,1,1,0,0,0,0,2,1,4
63,马努-吉诺比利,02-03,胜,森林狼75-91马刺,0,22,33.30%,2,6,0.00%,0,2,100.00%,2,2,4,0,4,2,3,1,2,3,6
64,马努-吉诺比利,02-03,负,开拓者95-76马刺,1,17,25.00%,1,4,33.30%,1,3,50.00%,1,2,0,0,0,1,0,0,1,1,4
65,马努-吉诺比利,02-03,胜,勇士73-93马刺,1,23,33.30%,2,6,100.00%,1,1,75.00%,3,4,4,1,3,2,0,0,0,4,8
66,马努-吉诺比利,02-03,胜,灰熊101-103马刺,1,25,60.00%,3,5,100.00%,1,1,,0,0,3,0,3,4,0,0,2,6,7
67,马努-吉诺比利,02-03,胜,猛龙72-91马刺,1,20,42.90%,3,7,0.00%,0,2,100.00%,2,2,2,0,2,0,1,0,1,3,8
68,马努-吉诺比利,02-03,负,勇士106-98马刺,1,30,38.50%,5,13,16.70%,1,6,,0,0,2,1,1,1,3,0,2,4,11
69,马努-吉诺比利,02-03,胜,湖人82-87马刺,0,20,33.30%,3,9,25.00%,1,4,,0,0,2,0,2,3,4,1,2,3,7
