id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,托尼-帕克,04-05,负,森林狼95-73马刺,1,22,28.60%,2,7,50.00%,1,2,100.00%,3,3,1,0,1,2,0,0,2,1,8
2,托尼-帕克,04-05,胜,灰熊75-97马刺,1,29,57.10%,4,7,0.00%,0,1,100.00%,2,2,1,0,1,10,1,0,3,0,10
3,托尼-帕克,04-05,负,爵士93-91马刺,1,35,38.90%,7,18,0.00%,0,1,42.90%,3,7,0,0,0,5,0,0,3,3,17
4,托尼-帕克,04-05,胜,开拓者89-95马刺,1,32,33.30%,3,9,0.00%,0,1,100.00%,2,2,4,0,4,5,2,0,4,0,8
5,托尼-帕克,04-05,胜,勇士134-136马刺,1,46,53.60%,15,28,25.00%,1,4,66.70%,4,6,6,2,4,12,0,0,3,2,35
6,托尼-帕克,04-05,胜,快船124-125马刺,1,53,39.10%,9,23,50.00%,2,4,58.30%,7,12,4,0,4,9,1,0,3,4,27
7,托尼-帕克,04-05,负,小牛104-68马刺,1,23,38.50%,5,13,0.00%,0,1,50.00%,1,2,1,0,1,0,1,0,3,2,11
8,托尼-帕克,04-05,胜,快船82-91马刺,1,26,62.50%,5,8,0.00%,0,1,33.30%,1,3,2,0,2,3,1,0,1,3,11
9,托尼-帕克,04-05,胜,湖人94-95马刺,1,32,43.80%,7,16,50.00%,1,2,100.00%,2,2,6,0,6,9,1,0,3,3,17
10,托尼-帕克,04-05,负,掘金102-84马刺,1,36,44.40%,8,18,25.00%,1,4,,0,0,1,0,1,7,0,1,4,1,17
11,托尼-帕克,04-05,胜,超音速76-89马刺,1,38,57.90%,11,19,66.70%,2,3,66.70%,4,6,6,1,5,5,4,0,4,3,28
12,托尼-帕克,04-05,胜,火箭70-83马刺,1,39,38.50%,5,13,0.00%,0,1,50.00%,1,2,8,2,6,6,0,0,2,2,11
13,托尼-帕克,04-05,胜,老鹰95-111马刺,1,34,58.30%,7,12,0.00%,0,1,80.00%,8,10,2,0,2,6,1,0,2,1,22
14,托尼-帕克,04-05,负,步行者100-93马刺,1,30,30.80%,4,13,50.00%,1,2,75.00%,3,4,5,1,4,7,0,0,1,3,12
15,托尼-帕克,04-05,负,尼克斯88-75马刺,1,37,40.00%,6,15,0.00%,0,1,50.00%,2,4,1,1,0,6,0,0,3,5,14
16,托尼-帕克,04-05,负,活塞110-101马刺,1,33,42.90%,6,14,0.00%,0,1,,0,0,2,1,1,5,3,0,2,3,12
17,托尼-帕克,04-05,胜,山猫76-93马刺,1,32,64.70%,11,17,,0,0,33.30%,2,6,5,0,5,5,1,1,1,1,24
18,托尼-帕克,04-05,胜,森林狼73-89马刺,1,37,33.30%,5,15,50.00%,1,2,0.00%,0,1,4,1,3,6,2,0,3,4,11
19,托尼-帕克,04-05,负,掘金90-87马刺,1,37,52.60%,10,19,0.00%,0,3,62.50%,5,8,3,1,2,4,1,1,2,2,25
20,托尼-帕克,04-05,负,太阳107-101马刺,1,38,45.20%,14,31,0.00%,0,3,50.00%,2,4,4,1,3,5,3,0,0,0,30
21,托尼-帕克,04-05,胜,篮网74-90马刺,1,32,33.30%,2,6,,0,0,54.50%,6,11,5,2,3,6,4,0,4,1,10
22,托尼-帕克,04-05,胜,爵士94-101马刺,1,33,33.30%,5,15,0.00%,0,2,100.00%,4,4,2,1,1,4,1,0,2,3,14
23,托尼-帕克,04-05,胜,公牛99-102马刺,1,42,55.60%,10,18,0.00%,0,1,83.30%,5,6,4,0,4,8,2,0,5,2,25
24,托尼-帕克,04-05,胜,猛龙86-92马刺,1,37,46.20%,6,13,0.00%,0,2,50.00%,3,6,5,1,4,7,1,0,4,2,15
25,托尼-帕克,04-05,胜,骑士92-94马刺,1,38,50.00%,8,16,0.00%,0,2,100.00%,3,3,8,3,5,10,1,0,3,1,19
26,托尼-帕克,04-05,负,灰熊84-82马刺,1,40,46.20%,6,13,0.00%,0,3,100.00%,4,4,7,2,5,5,1,0,4,2,16
27,托尼-帕克,04-05,胜,火箭81-99马刺,1,40,62.50%,10,16,0.00%,0,1,33.30%,2,6,1,0,1,6,5,0,2,1,22
28,托尼-帕克,04-05,胜,黄蜂78-101马刺,1,29,41.70%,5,12,50.00%,1,2,50.00%,1,2,2,0,2,5,1,0,1,1,12
29,托尼-帕克,04-05,负,热火96-92马刺,1,36,50.00%,8,16,60.00%,3,5,75.00%,3,4,1,1,0,2,2,0,3,3,22
30,托尼-帕克,04-05,胜,篮网91-101马刺,1,36,58.80%,10,17,100.00%,2,2,62.50%,5,8,5,1,4,8,2,0,3,5,27
31,托尼-帕克,04-05,负,奇才95-87马刺,1,37,42.10%,8,19,40.00%,2,5,80.00%,4,5,8,3,5,9,1,0,2,4,22
32,托尼-帕克,04-05,胜,山猫85-104马刺,1,32,69.20%,9,13,100.00%,1,1,16.70%,1,6,6,1,5,6,4,0,4,0,20
33,托尼-帕克,04-05,胜,湖人91-103马刺,1,37,52.90%,9,17,0.00%,0,1,80.00%,4,5,5,2,3,9,3,0,0,2,22
34,托尼-帕克,04-05,胜,超音速84-103马刺,1,36,46.20%,6,13,,0,0,83.30%,5,6,10,1,9,6,1,0,6,1,17
35,托尼-帕克,04-05,胜,黄蜂83-93马刺,1,39,47.10%,8,17,0.00%,0,1,63.60%,7,11,4,1,3,10,4,0,4,2,23
36,托尼-帕克,04-05,胜,国王80-90马刺,1,35,50.00%,6,12,0.00%,0,1,0.00%,0,2,3,0,3,7,0,0,4,2,12
