id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯文-加内特,07-08,胜,篮网94-105凯尔特,1,14,50.00%,4,8,,0,0,,0,0,4,0,4,1,2,3,0,0,8
2,凯文-加内特,07-08,胜,老鹰89-99凯尔特,1,29,64.30%,9,14,0.00%,0,1,100.00%,6,6,6,1,5,4,0,1,2,3,24
3,凯文-加内特,07-08,胜,雄鹿86-102凯尔特,1,23,41.70%,5,12,,0,0,66.70%,2,3,8,2,6,2,1,0,1,2,12
4,凯文-加内特,07-08,负,奇才109-95凯尔特,1,31,56.30%,9,16,,0,0,57.10%,4,7,14,5,9,5,1,1,3,2,22
5,凯文-加内特,07-08,胜,雄鹿104-107凯尔特,1,20,87.50%,7,8,,0,0,87.50%,7,8,3,1,2,2,3,0,0,1,21
6,凯文-加内特,07-08,胜,步行者77-92凯尔特,1,31,47.40%,9,19,,0,0,100.00%,2,2,11,3,8,4,2,1,5,2,20
7,凯文-加内特,07-08,胜,公牛92-106凯尔特,1,32,61.50%,8,13,,0,0,100.00%,4,4,7,2,5,2,1,4,1,3,20
8,凯文-加内特,07-08,胜,热火62-88凯尔特,1,22,42.90%,3,7,0.00%,0,1,100.00%,6,6,8,3,5,5,1,0,0,1,12
9,凯文-加内特,07-08,胜,黄蜂92-112凯尔特,1,35,60.00%,9,15,,0,0,75.00%,3,4,13,0,13,4,0,1,0,2,21
10,凯文-加内特,07-08,胜,太阳97-117凯尔特,1,34,63.20%,12,19,,0,0,100.00%,6,6,3,3,0,6,2,2,0,3,30
11,凯文-加内特,07-08,负,76人95-90凯尔特,1,32,53.80%,7,13,,0,0,100.00%,4,4,5,2,3,2,1,0,3,2,18
12,凯文-加内特,07-08,负,黄蜂113-106凯尔特,1,36,69.20%,9,13,,0,0,50.00%,1,2,12,1,11,4,0,0,2,4,19
13,凯文-加内特,07-08,胜,小牛90-94凯尔特,1,34,31.80%,7,22,,0,0,100.00%,6,6,13,3,10,1,3,1,0,4,20
14,凯文-加内特,07-08,胜,火箭74-94凯尔特,1,33,42.90%,9,21,0.00%,0,1,100.00%,4,4,11,5,6,3,3,2,0,3,22
15,凯文-加内特,07-08,胜,马刺91-93凯尔特,1,39,46.70%,7,15,,0,0,87.50%,7,8,8,2,6,2,2,1,4,2,21
16,凯文-加内特,07-08,胜,雄鹿77-99凯尔特,1,27,50.00%,8,16,,0,0,50.00%,3,6,2,0,2,2,2,1,1,2,19
17,凯文-加内特,07-08,负,爵士110-92凯尔特,1,36,50.00%,6,12,,0,0,37.50%,3,8,4,0,4,6,1,4,1,4,15
18,凯文-加内特,07-08,胜,超音速82-111凯尔特,1,23,50.00%,7,14,,0,0,80.00%,4,5,6,0,6,1,1,0,2,0,18
19,凯文-加内特,07-08,胜,76人86-100凯尔特,1,32,78.60%,11,14,,0,0,100.00%,4,4,12,1,11,2,0,0,5,1,26
20,凯文-加内特,07-08,胜,灰熊89-119凯尔特,1,27,66.70%,8,12,,0,0,50.00%,1,2,8,1,7,4,1,0,2,0,17
21,凯文-加内特,07-08,胜,公牛93-116凯尔特,1,24,53.80%,7,13,,0,0,100.00%,2,2,8,3,5,0,0,0,1,4,16
22,凯文-加内特,07-08,胜,活塞78-90凯尔特,1,41,59.10%,13,22,,0,0,83.30%,5,6,6,0,6,3,0,1,2,4,31
23,凯文-加内特,07-08,胜,老鹰88-98凯尔特,1,35,50.00%,9,18,,0,0,100.00%,2,2,16,3,13,3,2,0,4,1,20
24,凯文-加内特,07-08,胜,山猫100-108凯尔特,1,32,53.80%,7,13,,0,0,60.00%,3,5,9,2,7,3,1,0,1,4,17
25,凯文-加内特,07-08,胜,骑士87-92凯尔特,1,33,57.10%,8,14,,0,0,100.00%,2,2,11,0,11,5,4,0,1,2,18
26,凯文-加内特,07-08,胜,快船76-104凯尔特,1,23,45.50%,5,11,,0,0,100.00%,1,1,6,1,5,4,1,4,2,2,11
27,凯文-加内特,07-08,胜,开拓者102-112凯尔特,1,31,33.30%,5,15,,0,0,,0,0,7,1,6,3,0,0,1,5,10
28,凯文-加内特,07-08,负,太阳85-77凯尔特,1,32,47.10%,8,17,,0,0,75.00%,3,4,5,2,3,4,2,1,2,4,19
29,凯文-加内特,07-08,负,勇士119-117凯尔特,1,31,43.80%,7,16,,0,0,50.00%,3,6,15,4,11,2,3,3,4,1,17
30,凯文-加内特,07-08,负,掘金124-118凯尔特,1,21,28.60%,2,7,0.00%,0,1,,0,0,8,1,7,0,2,0,4,0,4
