id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,斯蒂芬-库里,18-19,胜,鹈鹕103-112勇士,1,9,50.00%,2,4,50.00%,1,2,,0,0,1,0,1,1,0,0,2,0,5
2,斯蒂芬-库里,18-19,胜,快船104-131勇士,1,30,55.00%,11,20,30.00%,3,10,100.00%,2,2,5,0,5,4,1,1,0,3,27
3,斯蒂芬-库里,18-19,胜,骑士114-120勇士,1,36,57.10%,12,21,75.00%,9,12,100.00%,7,7,6,1,5,7,0,1,4,1,40
4,斯蒂芬-库里,18-19,胜,湖人90-108勇士,1,29,21.40%,3,14,11.10%,1,9,,0,0,10,1,9,7,1,0,2,1,7
5,斯蒂芬-库里,18-19,胜,掘金102-116勇士,1,30,54.50%,6,11,50.00%,5,10,,0,0,4,0,4,5,3,0,4,4,17
6,斯蒂芬-库里,18-19,胜,黄蜂90-137勇士,1,27,57.10%,8,14,62.50%,5,8,100.00%,4,4,5,0,5,6,2,1,1,0,25
7,斯蒂芬-库里,18-19,负,森林狼131-130勇士,1,42,52.00%,13,25,57.90%,11,19,,0,0,3,0,3,5,2,0,2,2,37
8,斯蒂芬-库里,18-19,胜,灰熊103-118勇士,1,33,35.00%,7,20,50.00%,6,12,88.90%,8,9,10,0,10,7,1,1,1,3,28
9,斯蒂芬-库里,18-19,胜,活塞114-121勇士,1,35,47.40%,9,19,50.00%,5,10,100.00%,3,3,9,2,7,3,1,0,4,2,26
10,斯蒂芬-库里,18-19,胜,步行者89-112勇士,1,29,33.30%,5,15,41.70%,5,12,,0,0,4,1,3,7,1,0,3,3,15
11,斯蒂芬-库里,18-19,胜,森林狼107-117勇士,1,33,57.10%,12,21,57.10%,8,14,80.00%,4,5,3,1,2,5,2,0,2,1,36
12,斯蒂芬-库里,18-19,负,马刺111-105勇士,1,37,36.00%,9,25,33.30%,6,18,100.00%,1,1,7,1,6,8,3,1,2,3,25
13,斯蒂芬-库里,18-19,胜,雷霆88-110勇士,1,33,43.50%,10,23,41.70%,5,12,80.00%,8,10,7,1,6,3,2,0,4,1,33
14,斯蒂芬-库里,18-19,胜,火箭104-106勇士,1,35,40.00%,8,20,33.30%,3,9,100.00%,5,5,4,2,2,5,2,0,1,2,24
15,斯蒂芬-库里,18-19,负,太阳115-111勇士,1,35,30.00%,6,20,26.70%,4,15,100.00%,2,2,7,0,7,8,3,1,3,4,18
16,斯蒂芬-库里,18-19,胜,掘金105-122勇士,1,34,37.50%,6,16,40.00%,4,10,50.00%,1,2,7,0,7,4,0,0,7,4,17
