id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,马努-吉诺比利,07-08,胜,爵士80-109马刺,0,19,100.00%,4,4,,0,0,100.00%,4,4,6,0,6,4,3,0,1,3,12
2,马努-吉诺比利,07-08,负,太阳96-79马刺,0,28,25.00%,3,12,0.00%,0,4,100.00%,2,2,4,1,3,4,1,1,2,1,8
3,马努-吉诺比利,07-08,胜,开拓者65-72马刺,0,30,60.00%,3,5,0.00%,0,2,80.00%,4,5,3,0,3,6,0,0,4,2,10
4,马努-吉诺比利,07-08,负,爵士90-64马刺,0,26,20.00%,2,10,0.00%,0,2,100.00%,4,4,3,0,3,1,0,2,2,2,8
5,马努-吉诺比利,07-08,胜,勇士92-116马刺,0,29,50.00%,7,14,33.30%,1,3,100.00%,1,1,7,1,6,2,1,2,6,2,16
6,马努-吉诺比利,07-08,胜,火箭88-109马刺,0,27,37.50%,3,8,50.00%,1,2,87.50%,7,8,6,0,6,5,0,2,0,1,14
7,马努-吉诺比利,07-08,胜,森林狼84-99马刺,0,25,72.70%,8,11,62.50%,5,8,83.30%,5,6,1,0,1,3,0,0,1,1,26
8,马努-吉诺比利,07-08,胜,快船88-97马刺,0,31,45.50%,5,11,50.00%,2,4,50.00%,1,2,2,0,2,3,3,2,2,1,13
9,马努-吉诺比利,07-08,胜,魔术97-107马刺,0,33,52.60%,10,19,20.00%,1,5,100.00%,7,7,2,1,1,5,0,0,3,2,28
10,马努-吉诺比利,07-08,胜,小牛81-88马刺,0,34,40.00%,6,15,37.50%,3,8,100.00%,11,11,8,4,4,6,1,1,0,2,26
11,马努-吉诺比利,07-08,胜,国王89-102马刺,0,27,60.00%,3,5,33.30%,1,3,100.00%,2,2,2,0,2,5,0,1,2,2,9
12,马努-吉诺比利,07-08,胜,公牛80-102马刺,0,27,12.50%,1,8,0.00%,0,3,100.00%,4,4,4,0,4,2,2,0,3,0,6
13,马努-吉诺比利,07-08,负,凯尔特93-91马刺,0,33,55.60%,10,18,57.10%,4,7,100.00%,8,8,4,1,3,2,0,0,2,0,32
14,马努-吉诺比利,07-08,负,76人103-96马刺,1,38,58.30%,7,12,50.00%,3,6,100.00%,5,5,7,3,4,6,0,1,3,5,22
15,马努-吉诺比利,07-08,负,活塞84-80马刺,1,35,40.00%,4,10,20.00%,1,5,,0,0,5,1,4,2,1,1,2,4,9
16,马努-吉诺比利,07-08,负,黄蜂100-75马刺,1,31,50.00%,5,10,0.00%,0,4,100.00%,1,1,3,0,3,4,3,0,3,1,11
17,马努-吉诺比利,07-08,胜,掘金103-107马刺,1,32,36.40%,4,11,25.00%,1,4,100.00%,4,4,3,0,3,14,2,0,2,2,13
18,马努-吉诺比利,07-08,负,太阳94-87马刺,0,32,36.80%,7,19,66.70%,4,6,80.00%,4,5,5,0,5,2,1,0,5,4,22
19,马努-吉诺比利,07-08,负,掘金109-96马刺,1,28,52.90%,9,17,40.00%,2,5,100.00%,4,4,4,0,4,5,0,0,1,3,24
20,马努-吉诺比利,07-08,胜,步行者97-108马刺,1,28,76.90%,10,13,0.00%,0,1,88.90%,8,9,5,1,4,3,0,0,5,1,28
21,马努-吉诺比利,07-08,胜,篮网70-81马刺,1,33,27.30%,3,11,25.00%,1,4,100.00%,5,5,7,0,7,3,4,1,1,2,12
22,马努-吉诺比利,07-08,胜,篮网83-93马刺,0,29,46.20%,6,13,50.00%,2,4,75.00%,3,4,4,0,4,3,0,0,2,3,17
23,马努-吉诺比利,07-08,胜,雄鹿94-96马刺,1,33,58.80%,10,17,20.00%,1,5,81.80%,9,11,4,0,4,4,3,0,3,3,30
24,马努-吉诺比利,07-08,胜,小牛94-97马刺,1,38,30.00%,6,20,14.30%,1,7,100.00%,4,4,5,2,3,5,0,0,2,2,17
25,马努-吉诺比利,07-08,胜,老鹰74-89马刺,1,36,30.80%,4,13,50.00%,3,6,100.00%,2,2,5,1,4,3,3,0,3,3,13
26,马努-吉诺比利,07-08,胜,黄蜂89-98马刺,1,37,55.60%,10,18,50.00%,4,8,100.00%,6,6,6,1,5,12,1,0,3,2,30
27,马努-吉诺比利,07-08,胜,森林狼99-100马刺,1,38,72.20%,13,18,77.80%,7,9,91.70%,11,12,3,2,1,4,1,0,2,2,44
28,马努-吉诺比利,07-08,胜,山猫65-85马刺,1,32,50.00%,4,8,25.00%,1,4,81.80%,9,11,4,0,4,3,0,1,6,4,18
29,马努-吉诺比利,07-08,胜,骑士105-112马刺,1,41,75.00%,15,20,72.70%,8,11,88.90%,8,9,5,0,5,8,3,1,1,2,46
30,马努-吉诺比利,07-08,胜,猛龙88-93马刺,1,39,59.10%,13,22,50.00%,6,12,100.00%,2,2,15,2,13,6,2,0,2,2,34
31,马努-吉诺比利,07-08,负,凯尔特98-90马刺,1,38,46.70%,7,15,45.50%,5,11,100.00%,2,2,4,0,4,4,2,1,6,5,21
32,马努-吉诺比利,07-08,胜,尼克斯93-99马刺,1,42,37.50%,6,16,16.70%,1,6,70.00%,7,10,7,1,6,9,5,0,6,4,20
33,马努-吉诺比利,07-08,胜,奇才77-85马刺,1,34,37.50%,3,8,0.00%,0,2,100.00%,3,3,6,2,4,10,0,0,1,1,9
34,马努-吉诺比利,07-08,胜,步行者89-116马刺,1,27,46.20%,6,13,50.00%,3,6,0.00%,0,1,3,1,2,7,0,0,1,3,15
35,马努-吉诺比利,07-08,胜,太阳81-84马刺,1,41,21.40%,3,14,20.00%,1,5,100.00%,12,12,7,0,7,2,3,0,6,2,19
36,马努-吉诺比利,07-08,负,超音速88-85马刺,1,40,55.60%,10,18,57.10%,4,7,62.50%,5,8,4,0,4,7,0,0,1,2,29
37,马努-吉诺比利,07-08,负,爵士97-91马刺,0,30,56.30%,9,16,40.00%,2,5,100.00%,9,9,4,2,2,3,0,0,4,4,29
38,马努-吉诺比利,07-08,负,黄蜂102-78马刺,0,27,33.30%,4,12,25.00%,1,4,100.00%,2,2,3,1,2,2,0,1,3,1,11
39,马努-吉诺比利,07-08,胜,热火89-90马刺,0,37,41.70%,5,12,14.30%,1,7,87.50%,7,8,11,2,9,8,2,0,4,2,18
40,马努-吉诺比利,07-08,胜,湖人91-103马刺,0,33,18.80%,3,16,28.60%,2,7,66.70%,4,6,6,1,5,4,8,0,3,2,12
41,马努-吉诺比利,07-08,胜,山猫86-95马刺,0,28,46.70%,7,15,33.30%,1,3,33.30%,1,3,5,1,4,6,4,1,1,1,16
42,马努-吉诺比利,07-08,负,火箭83-81马刺,0,33,46.20%,6,13,57.10%,4,7,83.30%,5,6,5,0,5,4,0,0,2,3,21
43,马努-吉诺比利,07-08,负,骑士90-88马刺,0,35,66.70%,10,15,66.70%,4,6,87.50%,7,8,4,1,3,4,2,0,4,3,31
44,马努-吉诺比利,07-08,胜,76人82-89马刺,0,30,40.00%,4,10,50.00%,4,8,100.00%,8,8,4,1,3,5,0,0,2,4,20
45,马努-吉诺比利,07-08,胜,森林狼88-105马刺,0,27,60.00%,6,10,60.00%,3,5,70.00%,7,10,5,3,2,3,5,0,4,1,22
46,马努-吉诺比利,07-08,负,活塞90-80马刺,0,28,25.00%,3,12,0.00%,0,3,60.00%,3,5,4,1,3,2,1,1,2,2,9
47,马努-吉诺比利,07-08,负,勇士130-121马刺,0,41,46.70%,7,15,50.00%,3,6,75.00%,3,4,6,1,5,4,0,1,5,5,20
48,马努-吉诺比利,07-08,胜,快船82-88马刺,0,29,41.70%,5,12,20.00%,1,5,92.30%,12,13,5,1,4,2,1,1,2,3,23
49,马努-吉诺比利,07-08,胜,快船90-99马刺,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
50,马努-吉诺比利,07-08,负,灰熊88-85马刺,0,33,33.30%,7,21,25.00%,2,8,66.70%,4,6,5,0,5,5,3,0,3,2,20
51,马努-吉诺比利,07-08,负,太阳100-95马刺,0,32,31.60%,6,19,16.70%,1,6,83.30%,5,6,4,1,3,5,0,1,2,4,18
52,马努-吉诺比利,07-08,胜,掘金91-102马刺,0,28,36.40%,4,11,40.00%,2,5,100.00%,1,1,4,0,4,7,1,0,4,2,11
53,马努-吉诺比利,07-08,负,湖人102-97马刺,1,35,29.40%,5,17,14.30%,1,7,100.00%,3,3,6,1,5,3,0,0,7,5,14
54,马努-吉诺比利,07-08,负,勇士96-84马刺,0,29,28.60%,4,14,33.30%,1,3,66.70%,4,6,3,1,2,1,1,1,5,1,13
55,马努-吉诺比利,07-08,胜,爵士98-104马刺,0,36,42.90%,9,21,28.60%,2,7,89.50%,17,19,8,3,5,6,3,1,3,2,37
