id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,斯蒂芬-库里,12-13,胜,开拓者88-99勇士,1,32,31.30%,5,16,36.40%,4,11,100.00%,1,1,2,1,1,5,3,0,1,2,15
2,斯蒂芬-库里,12-13,胜,马刺106-116勇士,1,39,56.50%,13,23,53.80%,7,13,100.00%,2,2,8,1,7,5,2,0,3,0,35
3,斯蒂芬-库里,12-13,负,湖人118-116勇士,1,44,54.80%,17,31,60.00%,9,15,100.00%,4,4,6,3,3,9,3,0,1,3,47
4,斯蒂芬-库里,12-13,负,雷霆116-97勇士,1,35,50.00%,9,18,50.00%,3,6,100.00%,1,1,3,0,3,7,2,0,4,0,22
5,斯蒂芬-库里,12-13,胜,森林狼89-105勇士,1,39,42.90%,9,21,22.20%,2,9,80.00%,4,5,4,1,3,10,1,1,3,4,24
6,斯蒂芬-库里,12-13,负,爵士97-90勇士,1,45,42.10%,8,19,44.40%,4,9,100.00%,2,2,4,1,3,5,1,0,5,3,22
7,斯蒂芬-库里,12-13,胜,太阳107-111勇士,1,41,40.00%,6,15,37.50%,3,8,100.00%,3,3,1,0,1,15,4,0,4,5,18
8,斯蒂芬-库里,12-13,胜,黄蜂88-98勇士,1,36,42.90%,6,14,40.00%,4,10,100.00%,4,4,3,0,3,9,1,0,2,5,20
9,斯蒂芬-库里,12-13,胜,开拓者98-125勇士,1,37,63.60%,14,22,58.30%,7,12,100.00%,4,4,5,2,3,6,1,0,3,2,39
10,斯蒂芬-库里,12-13,负,国王105-98勇士,1,46,27.80%,5,18,22.20%,2,9,83.30%,5,6,5,2,3,12,4,0,3,3,17
11,斯蒂芬-库里,12-13,胜,湖人103-109勇士,1,43,37.50%,9,24,33.30%,3,9,57.10%,4,7,7,0,7,10,0,0,2,4,25
12,斯蒂芬-库里,12-13,胜,奇才92-101勇士,1,32,72.20%,13,18,60.00%,6,10,75.00%,3,4,2,0,2,8,2,0,3,2,35
13,斯蒂芬-库里,12-13,负,马刺104-93勇士,1,36,40.00%,8,20,50.00%,4,8,80.00%,4,5,4,1,3,3,2,0,3,0,24
14,斯蒂芬-库里,12-13,胜,黄蜂72-93勇士,1,39,52.60%,10,19,66.70%,6,9,100.00%,4,4,7,1,6,3,0,0,7,3,30
15,斯蒂芬-库里,12-13,胜,火箭78-108勇士,1,45,54.50%,12,22,45.50%,5,11,,0,0,5,0,5,11,2,1,3,1,29
16,斯蒂芬-库里,12-13,负,公牛113-95勇士,1,30,15.40%,2,13,0.00%,0,5,100.00%,4,4,0,0,0,4,0,0,1,2,8
17,斯蒂芬-库里,12-13,胜,活塞97-105勇士,1,43,64.70%,11,17,71.40%,5,7,100.00%,4,4,2,1,1,8,1,0,4,0,31
18,斯蒂芬-库里,12-13,胜,尼克斯63-92勇士,1,37,50.00%,9,18,60.00%,6,10,100.00%,2,2,6,1,5,3,1,0,2,1,26
19,斯蒂芬-库里,12-13,负,雄鹿103-93勇士,1,39,38.90%,7,18,33.30%,2,6,,0,0,2,1,1,10,0,0,4,4,16
20,斯蒂芬-库里,12-13,负,火箭94-88勇士,1,43,38.10%,8,21,37.50%,3,8,71.40%,5,7,5,1,4,8,1,0,1,5,24
21,斯蒂芬-库里,12-13,胜,国王83-87勇士,1,34,27.30%,3,11,40.00%,2,5,100.00%,5,5,5,1,4,8,2,0,6,4,13
22,斯蒂芬-库里,12-13,胜,猛龙118-125勇士,1,42,50.00%,8,16,40.00%,2,5,100.00%,8,8,5,2,3,12,0,0,6,5,26
23,斯蒂芬-库里,12-13,负,76人104-97勇士,1,42,55.00%,11,20,33.30%,3,9,71.40%,5,7,3,0,3,9,3,0,4,2,30
24,斯蒂芬-库里,12-13,负,凯尔特94-86勇士,1,42,27.30%,6,22,27.30%,3,11,100.00%,10,10,1,0,1,6,1,0,4,2,25
