id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,克里斯-保罗,12-13,胜,国王108-112快船,1,35,55.00%,11,20,0.00%,0,3,60.00%,3,5,4,1,3,11,1,0,0,2,25
2,克里斯-保罗,12-13,胜,开拓者77-93快船,1,25,42.90%,3,7,0.00%,0,2,100.00%,2,2,1,0,1,11,3,0,1,1,8
3,克里斯-保罗,12-13,胜,灰熊87-91快船,1,39,42.90%,6,14,0.00%,0,3,50.00%,1,2,4,0,4,5,1,0,2,2,13
4,克里斯-保罗,12-13,胜,黄蜂93-96快船,1,38,33.30%,4,12,50.00%,1,2,100.00%,8,8,7,2,5,14,2,1,4,2,17
5,克里斯-保罗,12-13,胜,森林狼95-111快船,1,31,63.60%,7,11,100.00%,2,2,100.00%,3,3,7,1,6,11,4,2,1,3,19
6,克里斯-保罗,12-13,胜,湖人95-109快船,1,41,55.60%,10,18,33.30%,1,3,75.00%,3,4,5,3,2,12,3,0,3,0,24
7,克里斯-保罗,12-13,胜,太阳101-126快船,1,26,40.00%,4,10,33.30%,1,3,100.00%,6,6,1,1,0,12,4,0,0,2,15
8,克里斯-保罗,12-13,负,步行者109-106快船,1,31,16.70%,2,12,0.00%,0,1,100.00%,6,6,2,0,2,8,1,0,4,4,10
9,克里斯-保罗,12-13,负,火箭98-81快船,1,32,46.70%,7,15,66.70%,2,3,100.00%,3,3,5,0,5,7,3,0,1,5,19
10,克里斯-保罗,12-13,负,马刺104-102快船,1,34,35.70%,5,14,0.00%,0,3,100.00%,4,4,5,2,3,12,1,1,4,4,14
11,克里斯-保罗,12-13,胜,黄蜂91-105快船,1,34,38.50%,5,13,0.00%,0,5,85.70%,6,7,6,3,3,9,4,0,3,1,16
12,克里斯-保罗,12-13,负,小牛109-102快船,1,39,80.00%,12,15,60.00%,3,5,66.70%,6,9,6,1,5,5,2,0,7,2,33
13,克里斯-保罗,12-13,胜,篮网95-101快船,1,41,50.00%,8,16,25.00%,1,4,92.30%,12,13,3,0,3,11,2,2,2,2,29
14,克里斯-保罗,12-13,胜,76人72-101快船,1,31,80.00%,8,10,66.70%,2,3,100.00%,1,1,6,1,5,9,5,0,4,0,19
15,克里斯-保罗,12-13,负,国王116-101快船,1,44,20.00%,2,10,0.00%,0,3,70.00%,7,10,7,2,5,15,4,0,7,2,11
16,克里斯-保罗,12-13,胜,尼克斯80-93快船,1,37,50.00%,6,12,33.30%,1,3,87.50%,7,8,4,1,3,8,1,0,1,1,20
17,克里斯-保罗,12-13,负,灰熊96-85快船,1,39,58.30%,7,12,33.30%,1,3,100.00%,9,9,3,1,2,9,2,1,5,4,24
18,克里斯-保罗,12-13,胜,活塞97-129快船,1,31,75.00%,9,12,0.00%,0,1,100.00%,2,2,1,0,1,14,2,0,0,4,20
19,克里斯-保罗,12-13,负,掘金107-92快船,1,38,54.50%,6,11,50.00%,2,4,66.70%,2,3,4,1,3,10,0,0,1,1,16
20,克里斯-保罗,12-13,胜,雄鹿101-117快船,1,32,50.00%,6,12,0.00%,0,1,100.00%,2,2,3,0,3,9,1,0,0,0,14
21,克里斯-保罗,12-13,负,雷霆108-104快船,1,41,38.10%,8,21,16.70%,1,6,100.00%,9,9,6,3,3,8,4,0,3,4,26
22,克里斯-保罗,12-13,胜,骑士89-105快船,1,33,36.40%,4,11,25.00%,1,4,100.00%,2,2,3,1,2,15,1,0,0,1,11
23,克里斯-保罗,12-13,胜,步行者91-99快船,1,35,61.10%,11,18,33.30%,1,3,100.00%,6,6,6,1,5,8,1,0,2,1,29
24,克里斯-保罗,12-13,胜,山猫84-106快船,1,32,42.90%,3,7,50.00%,1,2,,0,0,4,1,3,13,2,1,5,1,7
25,克里斯-保罗,12-13,胜,爵士94-107快船,1,28,25.00%,2,8,20.00%,1,5,85.70%,6,7,7,0,7,7,0,0,2,2,11
26,克里斯-保罗,12-13,负,马刺116-90快船,1,27,16.70%,1,6,0.00%,0,2,100.00%,2,2,2,1,1,3,1,0,3,5,4
27,克里斯-保罗,12-13,胜,湖人101-125快船,1,33,57.10%,8,14,60.00%,3,5,100.00%,5,5,1,1,0,13,2,0,3,1,24
28,克里斯-保罗,12-13,胜,火箭96-106快船,1,31,37.50%,3,8,25.00%,1,4,60.00%,3,5,3,0,3,11,3,0,1,2,10
29,克里斯-保罗,12-13,胜,76人90-107快船,1,25,81.80%,9,11,33.30%,1,3,100.00%,2,2,2,0,2,11,5,0,1,1,21
