id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,克里斯-保罗,13-14,胜,掘金105-117快船,1,28,80.00%,8,10,60.00%,3,5,50.00%,2,4,1,0,1,10,2,0,1,3,21
2,克里斯-保罗,13-14,胜,国王101-117快船,1,36,42.90%,6,14,25.00%,1,4,100.00%,4,4,7,2,5,10,0,0,2,3,17
3,克里斯-保罗,13-14,负,雷霆107-101快船,1,40,47.10%,8,17,42.90%,3,7,66.70%,6,9,5,1,4,8,2,0,4,4,25
4,克里斯-保罗,13-14,胜,湖人97-120快船,1,28,80.00%,8,10,100.00%,4,4,75.00%,3,4,4,0,4,6,3,0,3,0,23
5,克里斯-保罗,13-14,负,小牛113-107快船,1,40,50.00%,7,14,14.30%,1,7,100.00%,2,2,5,2,3,9,1,0,1,3,17
6,克里斯-保罗,13-14,胜,太阳108-112快船,1,35,35.30%,6,17,57.10%,4,7,80.00%,4,5,2,0,2,9,3,0,2,3,20
7,克里斯-保罗,13-14,胜,森林狼104-114快船,1,38,37.50%,6,16,40.00%,2,5,100.00%,8,8,7,1,6,9,3,0,3,4,22
8,克里斯-保罗,13-14,胜,火箭107-118快船,1,39,62.50%,10,16,55.60%,5,9,83.30%,5,6,5,1,4,12,3,0,1,4,30
9,克里斯-保罗,13-14,胜,小牛103-109快船,1,40,50.00%,9,18,50.00%,4,8,90.00%,9,10,4,0,4,9,3,0,2,3,31
10,克里斯-保罗,13-14,负,鹈鹕98-96快船,1,35,0.00%,0,12,0.00%,0,3,100.00%,2,2,4,1,3,12,3,0,2,3,2
11,克里斯-保罗,13-14,胜,雄鹿98-106快船,1,37,38.50%,5,13,0.00%,0,1,100.00%,4,4,0,0,0,7,3,0,0,1,14
12,克里斯-保罗,13-14,胜,活塞103-112快船,1,37,66.70%,10,15,50.00%,3,6,100.00%,5,5,4,1,3,15,6,0,2,2,28
13,克里斯-保罗,13-14,负,掘金110-100快船,1,39,52.60%,10,19,0.00%,0,2,81.80%,9,11,2,0,2,7,3,0,6,4,29
14,克里斯-保罗,13-14,胜,骑士80-102快船,1,36,46.70%,7,15,33.30%,1,3,100.00%,1,1,0,0,0,15,2,0,0,2,16
15,克里斯-保罗,13-14,胜,爵士87-96快船,1,36,66.70%,8,12,0.00%,0,1,66.70%,2,3,6,0,6,7,3,0,2,2,18
16,克里斯-保罗,13-14,胜,勇士98-111快船,1,38,33.30%,5,15,33.30%,1,3,83.30%,5,6,8,1,7,12,3,0,2,3,16
17,克里斯-保罗,13-14,胜,太阳105-112快船,1,35,43.80%,7,16,0.00%,0,1,60.00%,3,5,5,1,4,11,2,0,3,3,17
